00:00:05.289	5.289	00:00:07.811	7.811	00:00:02.522	2.522	They brought me to Manbulloo, we arrived
00:00:07.992	7.992	00:00:08.268	8.268	00:00:00.276	0.276	many
00:00:09.116	9.116	00:00:10.594	10.594	00:00:01.478	1.478	Old men and women
00:00:12.130	12.13	00:00:14.651	14.651	00:00:02.521	2.521	We came from Manbulloo first
00:00:15.615	15.615	00:00:16.122	16.122	00:00:00.507	0.507	many
00:00:17.290	17.29	00:00:23.087	23.087	00:00:05.797	5.797	We saw that some old people were there at Manbulloo ahead of us
00:00:24.440	24.44	00:00:28.940	28.94	00:00:04.500	4.5	We got there and they put us inside
00:00:29.790	29.79	00:00:30.380	30.38	00:00:00.590	0.59	The whites did
00:00:31.369	31.369	00:00:34.892	34.892	00:00:03.523	3.523	You stay here, this is your camp
00:00:36.165	36.165	00:00:40.046	40.046	00:00:03.881	3.881	Because whitefellas are running that camp at Willeroo 
00:00:41.440	41.44	00:00:47.253	47.253	00:00:05.813	5.813	Whitefellas took it, you’ll have to go somewhere
00:00:49.575	49.575	00:00:51.185	51.185	00:00:01.610	1.61	We lived at Manbulloo now
00:00:52.677	52.677	00:00:55.355	55.355	00:00:02.678	2.678	We were living there, they brought old man back  [reference not clear]
00:00:56.168	56.168	00:01:05.575	65.575	00:00:09.407	9.407	Peanuts, watermelon, rockmelon and whatsaname, pumpkin and all
00:01:06.321	66.321	00:01:08.423	68.423	00:00:02.102	2.102	They brought it to us and put it down
00:01:10.592	70.592	00:01:15.761	75.761	00:00:05.169	5.169	My father took a liking to an old man, my husband
00:01:18.762	78.762	00:01:23.118	83.118	00:00:04.356	4.356	`Ah, son-in-law’, he said to him
00:01:25.219	85.219	00:01:26.202	86.202	00:00:00.983	0.983	What?
00:01:28.219	88.219	00:01:31.626	91.626	00:00:03.407	3.407	Jabija is your, whatsit, skin, he said to him
00:01:31.745	91.745	00:01:32.271	92.271	00:00:00.526	0.526	Yes
00:01:34.338	94.338	00:01:37.388	97.388	00:00:03.050	3.05	Well come here to her
00:01:38.355	98.355	00:01:42.135	102.135	00:00:03.780	3.78	I’m giving you my child, I’m putting her with you.
00:01:43.016	103.016	00:01:45.168	105.168	00:00:02.152	2.152	She’s growing up now
00:01:45.897	105.897	00:01:47.491	107.491	00:00:01.594	1.594	They might like her.
00:01:48.779	108.779	00:01:50.694	110.694	00:00:01.915	1.915	Young fellas  
00:01:51.745	111.745	00:01:54.728	114.728	00:00:02.983	2.983	Because there are a lot of young fellas here.
00:01:56.473	116.473	00:01:58.151	118.151	00:00:01.678	1.678	He put me with an old man now.
00:01:58.592	118.592	00:02:02.677	122.677	00:00:04.085	4.085	He came and sat down with dad
00:02:03.152	123.152	00:02:04.932	124.932	00:00:01.780	1.78	They sat and talked.
00:02:05.965	125.965	00:02:07.152	127.152	00:00:01.187	1.187	He talked to him
00:02:08.202	128.202	00:02:09.338	129.338	00:00:01.136	1.136	He called out to me
00:02:09.491	129.491	00:02:11.575	131.575	00:00:02.084	2.084	Go siddown with him there.
00:02:12.288	132.288	00:02:14.474	134.474	00:00:02.186	2.186	Whatsit, in the shade
00:02:14.796	134.796	00:02:17.135	137.135	00:00:02.339	2.339	I went and sat with the old man. 
00:02:17.965	137.965	00:02:21.948	141.948	00:00:03.983	3.983	Whatever for (do I go) to this old man
00:02:22.626	142.626	00:02:25.897	145.897	00:00:03.271	3.271	Him now, that’s your husband.
00:02:26.812	146.812	00:02:29.168	149.168	00:00:02.356	2.356	Old man is going to keep you.  [look after you]
00:02:30.168	150.168	00:02:32.931	152.931	00:00:02.763	2.763	You mustn’t go around liking these young fellas.
00:02:33.718	153.718	00:02:34.752	154.752	00:00:01.034	1.034	To avoid trouble.
00:02:36.405	156.405	00:02:37.660	157.66	00:00:01.255	1.255	Is it? OK
00:02:37.847	157.847	00:02:38.728	158.728	00:00:00.881	0.881	
00:02:41.525	161.525	00:02:44.118	164.118	00:00:02.593	2.593	I said to him, fine, I’ll stay with old man
00:02:44.626	164.626	00:02:46.203	166.203	00:00:01.577	1.577	We went down [to the river].
00:02:46.372	166.372	00:02:49.982	169.982	00:00:03.610	3.61	We `bogeyed’ on a flat rock.
00:02:50.287	170.287	00:02:53.982	173.982	00:00:03.695	3.695	We washed clothes, I washed his clothes for him, mine.
00:02:54.812	174.812	00:02:57.066	177.066	00:00:02.254	2.254	I wrung them and spread them out.
00:02:57.236	177.236	00:02:59.965	179.965	00:00:02.729	2.729	We went bush.
00:03:02.083	182.083	00:03:04.355	184.355	00:00:02.272	2.272	We two slept there.
00:03:06.271	186.271	00:03:08.593	188.593	00:00:02.322	2.322	My father camped inside.  
00:03:09.237	189.237	00:03:14.406	194.406	00:00:05.169	5.169	
00:03:16.491	196.491	00:03:21.304	201.304	00:00:04.813	4.813	We stayed, he brought to us…                        
00:03:21.660	201.66	00:03:24.762	204.762	00:00:03.102	3.102	
00:03:24.830	204.83	00:03:27.898	207.898	00:00:03.068	3.068	The old people went lowdown 	
